id,format,path,topic,language_mode,body_word_count,rare_english,rare_arabic,unique_marker,size_bytes,sha256
76,docx,docx/sample-0076-asset-management-english.docx,asset-management,english,200,anfractuous,الاستدراك,wathiqrare0076,37406,bb3f1aedfb38130ea4d19f5700adb0a85a10dbefc3071cda85f8f91f641d4d10
77,docx,docx/sample-0077-records-management-arabic.docx,records-management,arabic,200,crepuscular,التغاير,wathiqrare0077,37498,9c9b3475965570e92ac011b3bf46f1c004fa91e60a0cdb63886ed6a0686833fe
78,docx,docx/sample-0078-project-management-mixed.docx,project-management,mixed,200,psithurism,التماثل,wathiqrare0078,37525,46d43ec8d507b0560ffa03de713e6d4ad96795d1f5e52b1c9e6efa5ed5a4a9c6
79,docx,docx/sample-0079-information-technology-english.docx,information-technology,english,200,ultracrepidarian,المضاهاة,wathiqrare0079,37450,94ba32734796f978bee89b0efa9f51bedfc5659aebcf69406cc9720448aeeb5e
80,docx,docx/sample-0080-procurement-arabic.docx,procurement,arabic,200,palimpsest,الاستيثاق,wathiqrare0080,37443,401790e0520070b73c3a979c33e41c94774acf0c93d7be03e29d377c4dc8d23d
81,docx,docx/sample-0081-finance-mixed.docx,finance,mixed,200,quincunx,الاستعصاء,wathiqrare0081,37589,edfeb51a555833a2b35beaa83034406f142b0ac413b94545799b46b65ea5d081
82,docx,docx/sample-0082-human-resources-english.docx,human-resources,english,200,zeugma,التبويب,wathiqrare0082,37480,70256f3e4e7c8ccdff9bb6bc94716f217e547f51ac0b28afdd21525ab4f2593f
83,docx,docx/sample-0083-general-administration-arabic.docx,general-administration,arabic,200,syzygy,الاستدامة,wathiqrare0083,37444,dea10121f9bf1bf5dd88ce152b7653a7e2a150780dae602bfd14451b1c2a14ab
84,docx,docx/sample-0084-asset-management-mixed.docx,asset-management,mixed,200,susurrus,الاستدلال,wathiqrare0084,37505,ac401c29d8c455c5f1db5815c2245139a28c3449ab11354cf0413016651d160e
85,docx,docx/sample-0085-records-management-english.docx,records-management,english,200,velleity,الاستقراء,wathiqrare0085,37459,b01628afb16c628e2f03a8059dd2c1c15798a17ee7e084dde818af48df666b37
86,docx,docx/sample-0086-project-management-arabic.docx,project-management,arabic,200,anfractuous,الاستدراك,wathiqrare0086,37452,0105184553135f7b29981778e5741e305b9bb34a9faafb3cc2c1b18031d04db1
87,docx,docx/sample-0087-information-technology-mixed.docx,information-technology,mixed,200,crepuscular,التغاير,wathiqrare0087,37554,7c3f438376692a8c7c9b4174ce1b6fc4151c2c88fdf8af26a4bf4c0cb0847d0b
88,docx,docx/sample-0088-procurement-english.docx,procurement,english,200,psithurism,التماثل,wathiqrare0088,37417,9864a8bdd0f1f615161cec7e4abe6af040d2fecc4e2b18e6ba8addd1a71bf070
89,docx,docx/sample-0089-finance-arabic.docx,finance,arabic,200,ultracrepidarian,المضاهاة,wathiqrare0089,37500,002edc0bb0c2868f4c6e19d68f1bbaee9b4d708b2ca07c426cb5015b6f0cbe56
90,docx,docx/sample-0090-human-resources-mixed.docx,human-resources,mixed,200,palimpsest,الاستيثاق,wathiqrare0090,37575,f08f61427ef98714e87d36f9eb987c08886c93153627a41ac2d993fcb7f5653c
91,docx,docx/sample-0091-general-administration-english.docx,general-administration,english,200,quincunx,الاستعصاء,wathiqrare0091,37421,23f4eb302f519c53a433287ac39e0406631433b9fa953faffa51f0b8f68069d6
92,docx,docx/sample-0092-asset-management-arabic.docx,asset-management,arabic,200,zeugma,التبويب,wathiqrare0092,37437,09f032b91cf6aae906d27a5ab4d170cb4f92ae704cc2f3dab47ee215a0cc93ca
93,docx,docx/sample-0093-records-management-mixed.docx,records-management,mixed,200,syzygy,الاستدامة,wathiqrare0093,37565,4dd2c573616cc36571b0c5ecd74ab561b4d762b4f630275500dac2c7e84ae6c9
94,docx,docx/sample-0094-project-management-english.docx,project-management,english,200,susurrus,الاستدلال,wathiqrare0094,37413,80cff906896cb27f15fe43e6b9a50a4a19d3cba40fd5dc199477d19bba42cefc
95,docx,docx/sample-0095-information-technology-arabic.docx,information-technology,arabic,200,velleity,الاستقراء,wathiqrare0095,37486,4ca69a8dc2d9b899a06fc759cecfc916d3f7e09a69c59a19863d3c08824c21d8
96,docx,docx/sample-0096-procurement-mixed.docx,procurement,mixed,200,anfractuous,الاستدراك,wathiqrare0096,37485,40314102be1bf4054a6dbcf7e3683ae3d23b8f131fdb34e0fd869cb73d286099
97,docx,docx/sample-0097-finance-english.docx,finance,english,200,crepuscular,التغاير,wathiqrare0097,37473,7e497260a5a2620d45eb9c5f6ed6c0f44df47233e71e340dd5533b32a256268a
98,docx,docx/sample-0098-human-resources-arabic.docx,human-resources,arabic,200,psithurism,التماثل,wathiqrare0098,37484,84450764d57f879a9a2a066e23774a4fec3025b101ad5f669adf7a7132cf19d1
99,docx,docx/sample-0099-general-administration-mixed.docx,general-administration,mixed,200,ultracrepidarian,المضاهاة,wathiqrare0099,37505,85567833fc231d4d4f8d8803e8855a241efaad1eb4c71ab7b12614ad1fc0717d
100,docx,docx/sample-0100-asset-management-english.docx,asset-management,english,200,palimpsest,الاستيثاق,wathiqrare0100,37402,82243a8cd8bc9798f11a76a1ac21bb763ffdb8e01ee834071b47e8463b551129
101,docx,docx/sample-0101-records-management-arabic.docx,records-management,arabic,200,quincunx,الاستعصاء,wathiqrare0101,37508,92f84db8a96cddb9ca4abef50c15867ee6f69815c3d60929ece3c2eb79cb14c0
102,docx,docx/sample-0102-project-management-mixed.docx,project-management,mixed,200,zeugma,التبويب,wathiqrare0102,37525,b509a113d6d4437d658c2a9a822b762b6f309f4c4c0ee15899bc366289fe90e5
103,docx,docx/sample-0103-information-technology-english.docx,information-technology,english,200,syzygy,الاستدامة,wathiqrare0103,37447,dacdeede4727dff29dca5429cb8163b0c15b53c9d7b61c9ae20203af1c04e6f6
104,docx,docx/sample-0104-procurement-arabic.docx,procurement,arabic,200,susurrus,الاستدلال,wathiqrare0104,37440,24a6bdb113174ffcab3e423f7887169fc4eeeff938d7b912aaf75e04cfbddc19
105,docx,docx/sample-0105-finance-mixed.docx,finance,mixed,200,velleity,الاستقراء,wathiqrare0105,37588,1c0e04736f5277f17dd0d5a32ac7b159163f48083fa309dbb9475712a8f589ff
106,docx,docx/sample-0106-human-resources-english.docx,human-resources,english,200,anfractuous,الاستدراك,wathiqrare0106,37482,1a17750abd3214e253b3a9fd735208c9aebde39a88b416204a720f25e0090886
107,docx,docx/sample-0107-general-administration-arabic.docx,general-administration,arabic,200,crepuscular,التغاير,wathiqrare0107,37450,e1a71b6aba33fe376e5352d86b547b0808103616bb8c64e67403c9a7d8771cb8
108,docx,docx/sample-0108-asset-management-mixed.docx,asset-management,mixed,200,psithurism,التماثل,wathiqrare0108,37505,a3e3c71fcf8287313a756638bc8f384bc86b48a3effa6af9f0ffd198d0a131d2
109,docx,docx/sample-0109-records-management-english.docx,records-management,english,200,ultracrepidarian,المضاهاة,wathiqrare0109,37454,73b77369b0d7a737dab6758ee70295fa68f434c41d588674f7ab90c5525b4894
110,docx,docx/sample-0110-project-management-arabic.docx,project-management,arabic,200,palimpsest,الاستيثاق,wathiqrare0110,37450,75649dc95a47a411da0dfbd95783746b3a6c008877016e731358dbfde14990a3
111,docx,docx/sample-0111-information-technology-mixed.docx,information-technology,mixed,200,quincunx,الاستعصاء,wathiqrare0111,37558,bff8f8cb030965f5aecf826873eb190c8d80a4e0e5ce0c88c92007121229ab0e
112,docx,docx/sample-0112-procurement-english.docx,procurement,english,200,zeugma,التبويب,wathiqrare0112,37420,74144104e676bffcf80dda54c814133dcd697d9202f873d86ee59ca3f2259301
113,docx,docx/sample-0113-finance-arabic.docx,finance,arabic,200,syzygy,الاستدامة,wathiqrare0113,37498,0cd38c4cf11bb0ec12e4f5c737595f3b5d4b8a1ddc87385a28b9c5b7516d169e
114,docx,docx/sample-0114-human-resources-mixed.docx,human-resources,mixed,200,susurrus,الاستدلال,wathiqrare0114,37572,d8f7d9a1f02f42177f6d132a5e395c34791018c0c580c2bb35f3e15228ed828a
115,docx,docx/sample-0115-general-administration-english.docx,general-administration,english,200,velleity,الاستقراء,wathiqrare0115,37419,cd5da2a04697146b57f5b4d087fd0f60fa811ccb48df75818ab228324d7b05f9
116,docx,docx/sample-0116-asset-management-arabic.docx,asset-management,arabic,200,anfractuous,الاستدراك,wathiqrare0116,37437,126204a08e033410ccad3cd69738ee6aa2d4fcfffcb67d398f81b6b204778f00
117,docx,docx/sample-0117-records-management-mixed.docx,records-management,mixed,200,crepuscular,التغاير,wathiqrare0117,37568,bf91509f9a389d290fad68e2111c446e4585b6f4974450e262eb13fefe7b9aa1
118,docx,docx/sample-0118-project-management-english.docx,project-management,english,200,psithurism,التماثل,wathiqrare0118,37415,04ca3cb03a62cb767cb339f1575af9390a40a1bcc2e5f3784df1723efb5492bd
119,docx,docx/sample-0119-information-technology-arabic.docx,information-technology,arabic,200,ultracrepidarian,المضاهاة,wathiqrare0119,37491,5a1a9a525370c8b436f084d7c00c23eb71f4c47d5df9777737a0e63115cf03c2
120,docx,docx/sample-0120-procurement-mixed.docx,procurement,mixed,200,palimpsest,الاستيثاق,wathiqrare0120,37486,1a10260d7ee29374482f7b5ccaddcaee919e2452f2a701f7b7803e63969b0c40
121,docx,docx/sample-0121-finance-english.docx,finance,english,200,quincunx,الاستعصاء,wathiqrare0121,37478,12d54944b19f9ce97e6340f4e2559746b53d1fb295f84e9e182f94c23beaa29c
122,docx,docx/sample-0122-human-resources-arabic.docx,human-resources,arabic,200,zeugma,التبويب,wathiqrare0122,37479,4ab7940c5774162a161ffbfe8f7bfa2e7d3fa6d567223fffba4815269b8f0266
123,docx,docx/sample-0123-general-administration-mixed.docx,general-administration,mixed,200,syzygy,الاستدامة,wathiqrare0123,37498,185f8b2485dfd1ce462a625011759dfe4e8584355716805c5ac2de0a02c645d7
124,docx,docx/sample-0124-asset-management-english.docx,asset-management,english,200,susurrus,الاستدلال,wathiqrare0124,37399,8550d6e0197df6b8d814b0a00dae748286644a3946ed552828a4a3065e701034
125,docx,docx/sample-0125-records-management-arabic.docx,records-management,arabic,200,velleity,الاستقراء,wathiqrare0125,37501,bb8a14332ffaaa13e07bb90831779ecf835e58a91bed8ba326916092787620bb
126,docx,docx/sample-0126-project-management-mixed.docx,project-management,mixed,200,anfractuous,الاستدراك,wathiqrare0126,37526,47a54d41f0c0a44215df4bcd53da131b599902e38010eb32581c2d595009df64
127,docx,docx/sample-0127-information-technology-english.docx,information-technology,english,200,crepuscular,التغاير,wathiqrare0127,37452,d3e29eeeb26218fd8cbfbdd8404b8085b8aa9f46a1f41e9c2a86d221ac0f199b
128,docx,docx/sample-0128-procurement-arabic.docx,procurement,arabic,200,psithurism,التماثل,wathiqrare0128,37438,788e2d8750368281007628e9d87dd97ba6aa2758757bb28ddfc86e9cad0d7b4d
129,docx,docx/sample-0129-finance-mixed.docx,finance,mixed,200,ultracrepidarian,المضاهاة,wathiqrare0129,37589,db5d9c2ee8d645fd276cb148c2b3c740c9e354bd1b7de93cc1fc87dc0ec99404
130,docx,docx/sample-0130-human-resources-english.docx,human-resources,english,200,palimpsest,الاستيثاق,wathiqrare0130,37480,a8b4baa9052c8bc4dadf6a5fe93aced9e777eb9d0e0622f29bd59c73493d618f
131,docx,docx/sample-0131-general-administration-arabic.docx,general-administration,arabic,200,quincunx,الاستعصاء,wathiqrare0131,37452,fb7c51fdebaada28be6db24c8b9523111285a4e3ef1c5f6f5d493a9e4935b51f
132,docx,docx/sample-0132-asset-management-mixed.docx,asset-management,mixed,200,zeugma,التبويب,wathiqrare0132,37505,9b5d527d62977a9dd6b82a991164370b67bb02d3ca26b1fa50d92d82e49b8476
133,docx,docx/sample-0133-records-management-english.docx,records-management,english,200,syzygy,الاستدامة,wathiqrare0133,37456,74f6dc70b9fda7a48bde548756c27ed5f257cb6e2b27c51c019acff38579a98f
134,docx,docx/sample-0134-project-management-arabic.docx,project-management,arabic,200,susurrus,الاستدلال,wathiqrare0134,37447,23aee2fb7bbfc2332de605c5a2a8c1e96090a9f548108220915d28b8ffcd5a8c
135,docx,docx/sample-0135-information-technology-mixed.docx,information-technology,mixed,200,velleity,الاستقراء,wathiqrare0135,37555,4e015803b2d8aeb4327b7b4625a8421383215908123c1895ff5d6704bed4eda7
136,docx,docx/sample-0136-procurement-english.docx,procurement,english,200,anfractuous,الاستدراك,wathiqrare0136,37423,5977bfa6e51c69c6aee14910f637749ff4ddd58a19e414c07003430a6826a4a6
